Date,UnemploymentRate,ConsumerPriceIndex,FederalFundsRate,GrossDomesticProduct,ConsumerSentiment,RecessionIndicator,InflationRateYoY,GDPGrowthYoY,RealInterestRate,UnemploymentChange1M,UnemploymentChange3M,ConsumerSentimentMomentum3M,UnemploymentLag1,UnemploymentLag3,UnemploymentLag6,UnemploymentLag12,InflationLag3,FederalFundsLag3,GDPGrowthLag3,ConsumerSentimentLag3,InflationLag6,FederalFundsLag6,GDPGrowthLag6,ConsumerSentimentLag6,EconomicStressIndex,LaborMarketShock
1954-07-01,5.8,26.86,0.8,391.0,,0,,,,,,,,,,,,,,,,,,,,0
1954-08-01,6.0,26.85,1.22,391.0,,0,,,,0.2,,,5.8,,,,,,,,,,,,,0
1954-09-01,6.1,26.81,1.07,391.0,,0,,,,0.1,,,6.0,,,,,,,,,,,,,0
1954-10-01,5.7,26.72,0.85,399.73,,0,,,,-0.4,-0.1,,6.1,5.8,,,,0.8,,,,,,,,0
1954-11-01,5.3,26.78,0.83,399.73,87.0,0,,,,-0.4,-0.7,,5.7,6.0,,,,1.22,,,,,,,,0
1954-12-01,5.0,26.77,1.28,399.73,89.97,0,,,,-0.3,-1.1,,5.3,6.1,,,,1.07,,,,,,,,0
1955-01-01,4.9,26.77,1.39,413.07,92.93,0,,,,-0.1,-0.8,,5.0,5.7,5.8,,,0.85,,,,0.8,,,,0
1955-02-01,4.7,26.82,1.29,413.07,95.9,0,,,,-0.2,-0.6,8.9,4.9,5.3,6.0,,,0.83,,87.0,,1.22,,,,0
1955-03-01,4.6,26.79,1.35,413.07,96.97,0,,,,-0.1,-0.4,7.0,4.7,5.0,6.1,,,1.28,,89.97,,1.07,,,,0
1955-04-01,4.7,26.79,1.43,421.53,98.03,0,,,,0.1,-0.2,5.1,4.6,4.9,5.7,,,1.39,,92.93,,0.85,,,,0
1955-05-01,4.3,26.77,1.43,421.53,99.1,0,,,,-0.4,-0.4,3.2,4.7,4.7,5.3,,,1.29,,95.9,,0.83,,87.0,,0
1955-06-01,4.2,26.71,1.64,421.53,99.2,0,,,,-0.1,-0.4,2.23,4.3,4.6,5.0,,,1.35,,96.97,,1.28,,89.97,,0
1955-07-01,4.0,26.76,1.68,430.22,99.3,0,-0.37,10.03,2.05,-0.2,-0.7,1.27,4.2,4.7,4.9,5.8,,1.43,,98.03,,1.39,,92.93,-1.12,0
1955-08-01,4.2,26.72,1.96,430.22,99.4,0,-0.48,10.03,2.44,0.2,-0.1,0.3,4.0,4.3,4.7,6.0,,1.43,,99.1,,1.29,,95.9,-1.07,0
1955-09-01,4.1,26.85,2.18,430.22,99.5,0,0.15,10.03,2.03,-0.1,-0.1,0.3,4.2,4.2,4.6,6.1,,1.64,,99.2,,1.35,,96.97,-0.99,0
1955-10-01,4.3,26.82,2.24,437.09,99.6,0,0.37,9.35,1.87,0.2,0.3,0.3,4.1,4.0,4.7,5.7,-0.37,1.68,10.03,99.3,,1.43,,98.03,-0.92,0
1955-11-01,4.2,26.88,2.35,437.09,99.7,0,0.37,9.35,1.98,-0.1,0.0,0.3,4.3,4.2,4.3,5.3,-0.48,1.96,10.03,99.4,,1.43,,99.1,-0.93,0
1955-12-01,4.2,26.87,2.48,437.09,99.45,0,0.37,9.35,2.11,0.0,0.1,-0.05,4.2,4.1,4.2,5.0,0.15,2.18,10.03,99.5,,1.64,,99.2,-0.92,0
1956-01-01,4.0,26.83,2.45,439.75,99.2,0,0.22,6.46,2.23,-0.2,-0.3,-0.4,4.2,4.3,4.0,4.9,0.37,2.24,9.35,99.6,-0.37,1.68,10.03,99.3,-0.98,0
1956-02-01,3.9,26.86,2.5,439.75,98.95,0,0.15,6.46,2.35,-0.1,-0.3,-0.75,4.0,4.2,4.2,4.7,0.37,2.35,9.35,99.7,-0.48,1.96,10.03,99.4,-1.0,0
1956-03-01,4.2,26.89,2.5,439.75,98.7,0,0.37,6.46,2.13,0.3,0.0,-0.75,3.9,4.2,4.1,4.6,0.37,2.48,9.35,99.45,0.15,2.18,10.03,99.5,-0.92,0
1956-04-01,4.0,26.93,2.62,446.01,98.45,0,0.52,5.81,2.1,-0.2,0.0,-0.75,4.2,4.0,4.3,4.7,0.22,2.45,6.46,99.2,0.37,2.24,9.35,99.6,-0.93,0
