Feature,Importance_MAE_Increase,Importance_Std
UnemploymentRate,0.339,0.009658
UnemploymentLag1,0.23503,0.007774
RecessionIndicator,0.102061,0.01445
UnemploymentLag3,0.084777,0.006849
RealInterestRate,0.018061,0.00292
UnemploymentLag6,0.016522,0.001417
ConsumerSentiment,0.013833,0.003386
EconomicStressIndex,0.010599,0.001545
RecessionRiskScore,0.010121,0.001428
ConsumerSentimentLag3,0.008427,0.001615
UnemploymentLag12,0.008362,0.001233
ConsumerSentimentLag6,0.007268,0.001454
GDPGrowthYoY,0.006993,0.001076
GDPGrowthLag3,0.005431,0.000773
ConsumerConfidenceDeterioration,0.004655,0.001654
MonetaryTighteningIndex,0.002968,0.000544
UnemploymentChange3M,0.001508,0.000578
UnemploymentMomentum,0.001259,0.000598
GDPGrowthLag6,0.001238,0.000917
GDPGrowthMomentum,0.001199,0.000359
InflationLag3,0.000524,0.000555
LaborMarketShock,0.000407,0.000145
FederalFundsLag3,0.000273,0.000736
ConsumerSentimentMomentum3M,0.000209,0.000396
ConsumerPriceIndex,0.0,0.0
GrossDomesticProduct,0.0,0.0
UnemploymentChange1M,-9.3e-05,0.000198
InflationAcceleration,-0.000268,0.000153
InflationUnemploymentRatio,-0.000333,0.000307
FederalFundsLag6,-0.00039,0.000731
GrowthToInflationRatio,-0.000474,0.000393
InflationRateYoY,-0.000723,0.000424
FederalFundsRate,-0.002576,0.000676
InflationLag6,-0.003629,0.000447
PolicyPressureScore,-0.004108,0.000852
