Horizon,Model,FeatureCount,TrainRows,ValidationRows,PreTestFitRows,TestRows,TrainEndDate,ValidationStartDate,ValidationEndDate,TestStartDate,TestEndDate,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2,SelectedByValidation
12M,Extra Trees,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,0.532,0.6838,0.49,1.1953,1.7293,0.205,True
12M,Random Forest,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,0.549,0.6888,0.4825,1.1836,1.7172,0.2161,False
12M,Gradient Boosting,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,0.5837,0.774,0.3465,1.167,1.7497,0.1861,False
12M,XGBoost,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,0.609,0.7967,0.3077,1.2328,1.8315,0.1083,False
12M,Ridge Regression,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,1.3564,1.4554,-1.3103,1.0213,1.6778,0.2516,False
12M,Linear Regression,35,381,108,501,312,1987-12-01,1989-01-01,1997-12-01,1999-01-01,2024-12-01,2.1264,2.2299,-4.423,2.1465,2.6586,-0.879,False
3M,Ridge Regression,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.1689,0.2183,0.9457,0.3493,1.0204,0.7197,True
3M,Extra Trees,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.1741,0.2363,0.9364,0.3849,0.9654,0.749,False
3M,Gradient Boosting,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.2002,0.2689,0.9176,0.4105,0.9642,0.7497,False
3M,XGBoost,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.2012,0.2764,0.9129,0.4214,0.9617,0.751,False
3M,Random Forest,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.2603,0.3174,0.8852,0.6457,1.1143,0.6656,False
3M,Linear Regression,35,390,117,510,321,1988-09-01,1989-01-01,1998-09-01,1999-01-01,2025-09-01,0.283,0.3337,0.8731,0.3863,1.0591,0.698,False
6M,Extra Trees,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.2705,0.3826,0.8353,0.7248,1.2772,0.5629,True
6M,XGBoost,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.3049,0.4253,0.7965,0.7834,1.3147,0.5369,False
6M,Gradient Boosting,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.3269,0.457,0.7651,0.7954,1.3303,0.5258,False
6M,Random Forest,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.3688,0.4758,0.7453,0.8559,1.3878,0.4839,False
6M,Ridge Regression,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.3896,0.482,0.7386,0.5773,1.2978,0.5487,False
6M,Linear Regression,35,387,114,507,318,1988-06-01,1989-01-01,1998-06-01,1999-01-01,2025-06-01,0.7297,0.8191,0.2453,0.8497,1.4895,0.4055,False
