Target,FeatureSet,Model,Feature,Importance
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentRate,0.9485160845573387
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,InflationUnemploymentRatio,0.010656536878184205
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag12,0.010401835979383593
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag1,0.0068169468770999005
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentMomentum,0.0065101527519861105
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange3M,0.0058288475772631364
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag6,0.004284871105635936
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange1M,0.0034837779119647697
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag3,0.0024895863536589734
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,LaborMarketShock,0.0010113600074847058
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentRate,0.9472435668040362
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentMomentum,0.012174193314529035
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag12,0.010631657075070368
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,InflationUnemploymentRatio,0.008763222465972654
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag1,0.007822292549468346
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange3M,0.0064743163030245195
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag6,0.002465642494664727
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag3,0.002128442261245259
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange1M,0.0017439363113426671
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,LaborMarketShock,0.000552730420646216
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentRate,0.9284365869116966
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GrowthToInflationRatio,0.013378608846582781
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GDPGrowthYoY,0.009601081071328555
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentiment,0.007182302536323381
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag1,0.004747410672783028
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag3,0.0029289188190915246
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag12,0.002898842875639374
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag6,0.002701632192787927
