Indicator,LagMonths,CorrelationWithUnemployment
InflationRateYoY,0,0.0765108258303493
InflationRateYoY,1,0.09407175508939404
InflationRateYoY,2,0.11501907906659767
InflationRateYoY,3,0.13680794646545488
InflationRateYoY,4,0.15768932164700114
InflationRateYoY,5,0.1768656101096438
InflationRateYoY,6,0.1953255218292202
InflationRateYoY,7,0.2132909709425175
InflationRateYoY,8,0.23232432873981082
InflationRateYoY,9,0.25089151006915233
InflationRateYoY,10,0.2692032209035196
InflationRateYoY,11,0.28700022498746713
InflationRateYoY,12,0.304485326274688
GDPGrowthYoY,0,-0.1839108328784089
GDPGrowthYoY,1,-0.19195035612431396
GDPGrowthYoY,2,-0.19535398872007237
GDPGrowthYoY,3,-0.2000669405677832
GDPGrowthYoY,4,-0.19556267463591717
GDPGrowthYoY,5,-0.19074056115732438
GDPGrowthYoY,6,-0.1859706871386028
GDPGrowthYoY,7,-0.17891597480247542
GDPGrowthYoY,8,-0.17069617742548154
GDPGrowthYoY,9,-0.15970818085000638
GDPGrowthYoY,10,-0.14867478569899936
GDPGrowthYoY,11,-0.13687825599097414
GDPGrowthYoY,12,-0.12261726545021961
FederalFundsRate,0,0.05271167560859117
FederalFundsRate,1,0.06696245798776845
FederalFundsRate,2,0.08486434731612884
FederalFundsRate,3,0.10380514878430834
FederalFundsRate,4,0.12416737293613818
FederalFundsRate,5,0.14479243037172798
FederalFundsRate,6,0.16566091913426698
FederalFundsRate,7,0.18687855270513606
FederalFundsRate,8,0.2075851557123182
FederalFundsRate,9,0.22888238046425377
FederalFundsRate,10,0.24927548381309406
FederalFundsRate,11,0.2685619272241903
FederalFundsRate,12,0.2865944919458165
RealInterestRate,0,-0.008903775665991848
RealInterestRate,1,-0.007929490987908542
RealInterestRate,2,-0.005507800669830973
RealInterestRate,3,-0.0025396417474770772
RealInterestRate,4,0.0033958758796378166
RealInterestRate,5,0.011538484751279113
RealInterestRate,6,0.020798556513562817
RealInterestRate,7,0.031088699348601496
RealInterestRate,8,0.03951731432670786
RealInterestRate,9,0.04929536490480633
RealInterestRate,10,0.058094972979066004
RealInterestRate,11,0.06590545163538647
RealInterestRate,12,0.07227692049689804
ConsumerSentiment,0,-0.3470402540064888
ConsumerSentiment,1,-0.36691369941370383
ConsumerSentiment,2,-0.3797900778951152
ConsumerSentiment,3,-0.3942281707411891
ConsumerSentiment,4,-0.4094444908680158
ConsumerSentiment,5,-0.42621462369120633
ConsumerSentiment,6,-0.44270898610840087
ConsumerSentiment,7,-0.4580096406657468
ConsumerSentiment,8,-0.4731703921689981
ConsumerSentiment,9,-0.4826400830665763
ConsumerSentiment,10,-0.48916368263625104
ConsumerSentiment,11,-0.4924048841804769
ConsumerSentiment,12,-0.494304690919924
EconomicStressIndex,0,0.5224086631304218
EconomicStressIndex,1,0.5224471632760818
EconomicStressIndex,2,0.5246588930074366
EconomicStressIndex,3,0.5295442291770803
EconomicStressIndex,4,0.5344623441572126
EconomicStressIndex,5,0.5404763606877492
EconomicStressIndex,6,0.5462841987451047
EconomicStressIndex,7,0.5526240883942104
EconomicStressIndex,8,0.5592059123486567
EconomicStressIndex,9,0.5655452489954103
EconomicStressIndex,10,0.5709985788047524
EconomicStressIndex,11,0.5759104783383404
EconomicStressIndex,12,0.5796992845950177
PolicyPressureScore,0,0.15130609756908214
PolicyPressureScore,1,0.17174880142648813
PolicyPressureScore,2,0.1937838336345398
PolicyPressureScore,3,0.2166680415649335
PolicyPressureScore,4,0.2401923387014355
PolicyPressureScore,5,0.2628089312839802
PolicyPressureScore,6,0.2848378877610737
PolicyPressureScore,7,0.30586074727277063
PolicyPressureScore,8,0.32633224280653755
PolicyPressureScore,9,0.3470395032440704
PolicyPressureScore,10,0.3669946975324858
PolicyPressureScore,11,0.3855198476015568
PolicyPressureScore,12,0.4027332599061433
RecessionRiskScore,0,0.5356193971364555
RecessionRiskScore,1,0.5424221061878174
RecessionRiskScore,2,0.5505918865692943
RecessionRiskScore,3,0.5618841809044615
RecessionRiskScore,4,0.5703807267717953
RecessionRiskScore,5,0.5796533511195299
RecessionRiskScore,6,0.5887140410383955
RecessionRiskScore,7,0.5975680930705994
RecessionRiskScore,8,0.6062396329088314
RecessionRiskScore,9,0.6138225269069685
RecessionRiskScore,10,0.6204277234287255
RecessionRiskScore,11,0.6259864752398974
RecessionRiskScore,12,0.6294997826568182
