Column,DataType,MissingValues,UsedAsMLFeature,UsedAsBaselineFeature,UsedAsForecastTarget,ExcludedFromML
Date,datetime64[us],0,False,False,False,False
UnemploymentRate,float64,0,True,True,False,False
ConsumerPriceIndex,float64,0,True,False,False,False
FederalFundsRate,float64,0,True,False,False,False
GrossDomesticProduct,float64,0,True,False,False,False
ConsumerSentiment,float64,0,True,False,False,False
RecessionIndicator,int64,0,False,False,False,True
InflationRateYoY,float64,0,True,False,False,False
GDPGrowthYoY,float64,0,True,False,False,False
RealInterestRate,float64,0,True,False,False,False
UnemploymentChange1M,float64,0,True,True,False,False
UnemploymentChange3M,float64,0,True,True,False,False
ConsumerSentimentMomentum3M,float64,0,True,False,False,False
UnemploymentLag1,float64,0,True,True,False,False
UnemploymentLag3,float64,0,True,True,False,False
UnemploymentLag6,float64,0,True,True,False,False
UnemploymentLag12,float64,0,True,True,False,False
InflationLag3,float64,0,True,False,False,False
FederalFundsLag3,float64,0,True,False,False,False
GDPGrowthLag3,float64,0,True,False,False,False
ConsumerSentimentLag3,float64,0,True,False,False,False
InflationLag6,float64,0,True,False,False,False
FederalFundsLag6,float64,0,True,False,False,False
GDPGrowthLag6,float64,0,True,False,False,False
ConsumerSentimentLag6,float64,0,True,False,False,False
EconomicStressIndex,float64,0,True,False,False,False
LaborMarketShock,int64,0,True,True,False,False
InflationAcceleration,float64,0,True,False,False,False
GDPGrowthMomentum,float64,0,True,False,False,False
UnemploymentMomentum,float64,0,True,True,False,False
MonetaryTighteningIndex,float64,0,True,False,False,False
PolicyPressureScore,float64,0,True,False,False,False
ConsumerConfidenceDeterioration,float64,0,True,False,False,False
InflationUnemploymentRatio,float64,0,True,True,False,False
GrowthToInflationRatio,float64,0,True,False,False,False
RecessionRiskScore,float64,0,False,False,False,True
FutureUnemployment_3M,float64,3,False,False,True,True
FutureUnemployment_6M,float64,6,False,False,True,True
FutureUnemployment_12M,float64,12,False,False,True,True
FutureLaborMarketShock_6M,int64,0,False,False,False,True
